province,type_property,subtype_property,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,construction_year
antwerp,apartment,apartment,199000.0,to_be_renovated,not_specified,not_specified,80.0,d,51.2398472,4.43241231,2,2.0,1,1,1,0,1,0,possible_flooding_area,
antwerp,house,residence,435000.0,normal,gas,west,223.0,d,51.2214091,4.473335,2,4.0,2,2,1,0,0,0,no_flooding_area,1930.0
antwerp,apartment,apartment,235000.0,normal,gas,east,92.0,c,51.2237,4.481293,2,2.0,1,1,1,0,0,0,possible_flooding_area,1975.0
antwerp,apartment,apartment,249950.0,normal,fuel_oil,north_east,130.0,d,51.19951,4.491152,3,2.0,1,1,0,0,0,0,no_flooding_area,1967.0
antwerp,apartment,apartment,259900.0,normal,fuel_oil,north_east,130.0,c,51.19951,4.491152,3,2.0,1,1,1,0,0,0,no_flooding_area,1967.0
antwerp,apartment,apartment,195000.0,to_be_renovated,fuel_oil,south_west,82.0,c,51.21149,4.455832,2,2.0,1,1,0,0,1,0,no_flooding_area,1960.0
antwerp,house,residence,349000.0,to_be_renovated,gas,not_specified,177.0,c,51.2264,4.466001,2,4.0,3,3,0,1,0,0,no_flooding_area,1930.0
antwerp,house,residence,285000.0,normal,electricity,south_east,167.0,f,51.2078964,4.47265409,2,2.0,1,2,0,0,0,0,no_flooding_area,
antwerp,house,residence,389000.0,normal,gas,not_specified,152.0,c,51.24357,4.438785,2,4.0,1,1,0,1,0,0,no_flooding_area,1945.0
antwerp,house,residence,337000.0,to_be_renovated,fuel_oil,south_east,115.0,c,51.20275,4.479937,2,2.0,1,1,0,0,0,0,possible_flooding_area,1953.0
antwerp,house,residence,260000.0,to_be_renovated,gas,south_east,208.0,e,51.24954,4.455686,2,3.0,1,2,0,0,0,0,no_flooding_area,
antwerp,apartment,apartment,249000.0,excellent,gas,east,92.0,b,51.22132,4.378788,2,3.0,1,1,1,0,0,0,no_flooding_area,1964.0
antwerp,house,residence,425000.0,normal,not_specified,south_west,270.0,c,51.22674,4.419718,2,4.0,1,2,0,0,0,0,no_flooding_area,1960.0
antwerp,apartment,apartment,279000.0,normal,gas,east,78.0,c,51.18293,4.385256,2,2.0,1,1,0,0,0,0,no_flooding_area,1962.0
antwerp,apartment,apartment,220000.0,normal,gas,south_west,75.0,c,51.19673,4.442404,2,1.0,1,1,0,0,0,0,no_flooding_area,1955.0
antwerp,apartment,apartment,225000.0,normal,gas,south_west,73.0,c,51.19673,4.442404,2,2.0,1,1,0,0,0,0,no_flooding_area,1955.0
antwerp,house,residence,299000.0,normal,not_specified,north_east,109.0,b,51.18368,4.357483,2,2.0,1,2,0,0,0,0,no_flooding_area,1920.0
antwerp,house,residence,649000.0,excellent,gas,south_west,198.0,b,51.2219,4.383765,3,4.0,1,2,0,0,1,0,no_flooding_area,1949.0
antwerp,apartment,apartment,335000.0,excellent,gas,south_east,65.0,d,51.20634,4.42743,2,1.0,1,1,1,0,0,0,no_flooding_area,1899.0
antwerp,apartment,ground_floor,248000.0,to_be_renovated,not_specified,not_specified,93.0,c,51.20414,4.443799,1,3.0,1,0,0,0,0,0,no_flooding_area,1974.0
antwerp,apartment,apartment,449000.0,normal,gas,north_east,174.0,a,51.17545,4.398913,2,3.0,1,0,1,0,0,0,no_flooding_area,1974.0
antwerp,apartment,apartment,219000.0,normal,gas,north,59.0,b,51.22135,4.435822,2,1.0,1,1,0,0,0,0,no_flooding_area,
antwerp,apartment,apartment,219000.0,normal,gas,north_west,51.0,c,51.20588,4.425571,2,1.0,1,1,0,1,0,0,no_flooding_area,1975.0
antwerp,house,residence,395000.0,normal,gas,west,164.0,d,51.17262,4.349111,2,4.0,2,0,1,1,0,0,no_flooding_area,1946.0
antwerp,apartment,apartment,145000.0,normal,electricity,west,52.0,d,51.22109,4.436394,2,1.0,1,1,0,0,0,0,no_flooding_area,1983.0
antwerp,house,residence,560000.0,normal,gas,east,236.0,d,51.22128,4.432782,2,4.0,2,2,0,1,0,0,no_flooding_area,1918.0
antwerp,apartment,apartment,189000.0,normal,not_specified,east,53.0,d,51.21654,4.417725,2,1.0,1,1,1,0,0,0,no_flooding_area,1986.0
antwerp,house,residence,549000.0,to_be_renovated,gas,east,254.0,f,51.20226,4.441165,2,5.0,3,0,0,1,0,0,no_flooding_area,1957.0
antwerp,apartment,apartment,449000.0,normal,gas,south_east,164.0,b,51.20857,4.422673,2,3.0,3,2,1,0,0,0,no_flooding_area,1970.0
antwerp,apartment,apartment,150000.0,to_be_renovated,gas,north_east,57.0,b,51.22367,4.424618,2,1.0,1,1,0,0,0,0,actual_flooding_area,1899.0
antwerp,apartment,duplex,375000.0,normal,not_specified,west,107.0,b,51.22123,4.417826,2,1.0,1,1,0,0,0,0,no_flooding_area,1974.0
antwerp,apartment,apartment,349000.0,excellent,gas,not_specified,49.0,c,51.20707,4.426629,2,1.0,1,1,1,0,0,0,no_flooding_area,1925.0
antwerp,apartment,apartment,449000.0,normal,gas,west,129.0,b,51.23294,4.423592,2,4.0,2,2,0,0,0,0,no_flooding_area,2016.0
antwerp,apartment,apartment,349000.0,excellent,not_specified,west,72.0,c,51.20707,4.426629,2,1.0,1,1,1,0,0,0,no_flooding_area,1925.0
antwerp,house,residence,539000.0,normal,fuel_oil,not_specified,170.0,d,51.02022,4.540818,4,2.0,1,1,1,1,1,0,no_flooding_area,1972.0
antwerp,house,residence,349000.0,normal,gas,south,159.0,d,51.21194,5.147318,4,3.0,1,0,0,0,1,0,no_flooding_area,1976.0
antwerp,house,residence,649000.0,normal,not_specified,north_west,213.0,b,51.15538109,5.17316624,4,3.0,1,0,0,0,0,0,no_flooding_area,2007.0
antwerp,house,residence,324900.0,normal,gas,not_specified,168.0,c,51.22811,4.449139,3,5.0,1,2,0,1,0,0,(information_not_available),
antwerp,house,villa,965000.0,not_specified,hot_air,not_specified,20.0,not_specified,51.0547929,4.5618516,4,3.0,2,2,1,1,1,0,(information_not_available),2025.0
antwerp,apartment,duplex,324000.0,normal,gas,not_specified,122.0,b,51.1064947,4.3310292,1,3.0,1,1,0,0,0,0,(information_not_available),1998.0
antwerp,house,master_house,520000.0,excellent,gas,not_specified,260.0,c,51.0202686,4.4809908,2,4.0,1,2,1,1,0,0,no_flooding_area,1953.0
antwerp,house,residence,269000.0,to_be_renovated,gas,not_specified,188.0,d,51.0197981,4.4949069,2,3.0,1,2,1,1,1,0,possible_flooding_area,1965.0
antwerp,house,residence,610000.0,normal,wood,south_east,237.0,c,51.2300691,4.8303083,3,3.0,1,0,1,0,0,0,no_flooding_area,
antwerp,apartment,apartment,229000.0,normal,gas,not_specified,90.0,not_specified,51.0551071,4.4199803,1,2.0,1,2,0,0,0,0,no_flooding_area,1918.0
antwerp,apartment,apartment,507000.0,new,not_specified,south_east,118.0,not_specified,51.29658,4.498079,2,2.0,1,1,1,0,0,0,no_flooding_area,2025.0
antwerp,apartment,apartment,441000.0,new,not_specified,south_east,105.0,not_specified,51.29658,4.498079,2,2.0,1,1,1,0,0,0,no_flooding_area,2025.0
antwerp,apartment,apartment,485000.0,new,not_specified,south_east,118.0,not_specified,51.29658,4.498079,2,2.0,1,1,1,0,0,0,no_flooding_area,2025.0
antwerp,apartment,apartment,473500.0,new,not_specified,south_east,118.0,not_specified,51.29658,4.498079,2,2.0,1,1,1,0,0,0,no_flooding_area,2025.0
antwerp,apartment,apartment,421000.0,new,not_specified,south_east,105.0,not_specified,51.29658,4.498079,2,2.0,1,1,1,0,0,0,no_flooding_area,2025.0
antwerp,apartment,penthouse,546500.0,new,not_specified,south_east,102.0,not_specified,51.29658,4.498079,2,1.0,1,1,1,0,0,0,no_flooding_area,2025.0
antwerp,apartment,apartment,408000.0,new,not_specified,south_east,105.0,not_specified,51.29658,4.498079,2,2.0,1,1,1,0,0,0,no_flooding_area,2025.0
antwerp,apartment,apartment,415000.0,new,electricity,south,108.0,not_specified,51.09185,4.498738,1,2.0,1,2,1,1,1,0,no_flooding_area,2026.0
antwerp,apartment,apartment,425000.0,new,electricity,south,119.0,not_specified,51.09185,4.498738,1,2.0,2,3,1,0,1,0,no_flooding_area,2026.0
antwerp,house,residence,339000.0,to_be_renovated,gas,west,173.0,f,51.17977,4.850871,4,3.0,1,2,0,0,0,0,no_flooding_area,1961.0
antwerp,house,residence,279000.0,to_be_renovated,gas,not_specified,124.0,f,51.08102,4.596061,3,3.0,1,1,1,1,0,0,no_flooding_area,1948.0
antwerp,apartment,apartment,249000.0,to_be_renovated,gas,not_specified,99.0,d,51.02964,4.470402,1,2.0,1,1,0,0,0,0,no_flooding_area,
antwerp,house,residence,829000.0,normal,gas,south,274.0,a,51.02149,4.606013,3,4.0,2,2,0,1,0,0,no_flooding_area,1999.0
antwerp,house,residence,359000.0,normal,gas,east,223.0,b,51.03761,4.474302,3,3.0,2,3,1,1,0,0,no_flooding_area,
antwerp,house,residence,285000.0,to_be_renovated,not_specified,south,157.0,d,51.02951,4.526137,3,3.0,1,1,0,1,0,0,no_flooding_area,
antwerp,house,residence,595000.0,normal,gas,south,272.0,b,51.0633,4.586565,4,5.0,1,3,1,1,0,0,no_flooding_area,1996.0
antwerp,apartment,apartment,265000.0,normal,gas,south_west,56.0,c,51.02412665,4.47052126,2,1.0,1,0,1,0,0,0,no_flooding_area,1969.0
antwerp,house,residence,369000.0,to_be_renovated,gas,north,178.0,c,51.01735,4.469223,3,4.0,2,2,0,1,0,0,no_flooding_area,
antwerp,apartment,apartment,299000.0,to_be_renovated,gas,south_east,101.0,d,51.01883,4.479381,1,2.0,1,1,0,0,0,0,no_flooding_area,
antwerp,house,residence,350000.0,normal,gas,east,145.0,b,51.02021,4.472678,3,4.0,1,2,1,0,0,0,no_flooding_area,
antwerp,house,residence,625000.0,normal,gas,south,283.0,b,51.04023,4.47326,3,4.0,2,2,1,1,0,0,no_flooding_area,1938.0
antwerp,house,residence,895000.0,normal,gas,south_west,321.0,b,51.05835,4.510002,4,5.0,2,2,1,1,1,0,no_flooding_area,2003.0
antwerp,apartment,studio,149000.0,normal,gas,south_west,43.0,b,51.01833,4.480841,2,3.0,1,1,0,0,0,0,no_flooding_area,1970.0
antwerp,house,residence,299000.0,to_be_renovated,gas,west,171.0,d,51.03322,4.476988,2,4.0,1,1,1,1,0,0,actual_flooding_area,1850.0
antwerp,apartment,apartment,265000.0,normal,gas,north_east,89.0,b,51.31065,4.405308,2,2.0,1,1,1,0,1,0,no_flooding_area,1974.0
antwerp,house,residence,470000.0,to_be_renovated,gas,east,153.0,d,51.03045,4.473799,3,3.0,1,1,0,1,0,0,no_flooding_area,1777.0
antwerp,apartment,apartment,210000.0,normal,gas,west,75.0,b,51.03606,4.471417,2,2.0,1,1,1,0,0,0,no_flooding_area,1978.0
antwerp,house,residence,665000.0,new,not_specified,south_west,180.0,a,51.10811,4.408461,2,3.0,2,2,0,1,0,0,no_flooding_area,2019.0
antwerp,house,residence,595000.0,normal,gas,north_east,255.0,b,51.05396,4.528121,4,4.0,1,2,0,1,0,0,actual_flooding_area,1934.0
antwerp,apartment,apartment,495000.0,new,not_specified,west,112.0,not_specified,51.0328064,4.4719289,1,2.0,1,2,1,0,0,0,no_flooding_area,
antwerp,apartment,apartment,179000.0,normal,gas,east,63.0,f,51.2811679,4.4496224,2,2.0,1,1,1,0,0,0,no_flooding_area,1950.0
antwerp,apartment,ground_floor,219000.0,normal,gas,not_specified,69.0,c,51.17536,4.364244,2,3.0,1,0,0,0,0,0,no_flooding_area,1973.0
antwerp,house,residence,319000.0,to_be_renovated,fuel_oil,south_west,179.0,f,51.1364313,5.15395341,4,3.0,1,0,0,0,0,0,no_flooding_area,1953.0
antwerp,house,residence,449000.0,new,not_specified,east,136.0,a,51.2173934,5.2082538,4,3.0,1,2,0,0,0,0,no_flooding_area,2024.0
antwerp,house,residence,275000.0,to_be_renovated,fuel_oil,west,166.0,d,51.1903126,5.0812398,4,4.0,1,1,0,0,1,0,no_flooding_area,1967.0
antwerp,house,residence,749000.0,normal,gas,south,358.0,c,51.19157,5.168437,3,5.0,2,2,1,1,0,0,no_flooding_area,1960.0
antwerp,apartment,apartment,398000.0,excellent,not_specified,south,82.0,a,51.19081,5.121333,2,2.0,1,1,0,0,1,0,no_flooding_area,2015.0
antwerp,house,residence,449500.0,to_be_renovated,fuel_oil,not_specified,285.0,d,51.0687135,4.6167859,4,3.0,1,1,1,1,1,0,(information_not_available),1973.0
antwerp,house,residence,575000.0,to_be_renovated,fuel_oil,not_specified,235.0,f,51.0862234,4.5752578,4,5.0,2,1,0,0,0,0,(information_not_available),1958.0
antwerp,apartment,apartment,299500.0,fully_renovated,gas,not_specified,90.0,c,51.1514726,4.4606191,1,3.0,1,1,0,0,0,0,no_flooding_area,1977.0
antwerp,house,residence,298000.0,to_be_renovated,gas,not_specified,147.0,f,51.016561,4.5739189,4,3.0,1,2,0,1,1,0,no_flooding_area,1959.0
antwerp,house,residence,492500.0,not_specified,gas,not_specified,210.0,b,51.0761539,4.8043706,4,3.0,1,2,1,1,1,0,(information_not_available),1998.0
antwerp,house,residence,425000.0,to_be_renovated,fuel_oil,not_specified,222.0,e,51.0554675,4.5682032,4,2.0,1,1,0,1,1,0,no_flooding_area,1972.0
antwerp,house,residence,590000.0,to_be_renovated,fuel_oil,not_specified,214.0,not_specified,51.0452134,4.5981782,4,5.0,1,1,0,1,1,0,(information_not_available),
antwerp,house,residence,350000.0,to_be_renovated,fuel_oil,not_specified,170.0,f,51.0174061,4.57086,2,2.0,1,1,0,1,1,0,(information_not_available),1931.0
antwerp,house,residence,298000.0,excellent,gas,not_specified,94.0,c,51.0484667,4.5097846,2,3.0,1,1,1,0,1,0,no_flooding_area,1899.0
antwerp,house,residence,649000.0,not_specified,fuel_oil,not_specified,297.0,c,51.0669609,4.6255797,4,5.0,1,2,1,1,0,0,(information_not_available),1931.0
antwerp,apartment,apartment,299000.0,excellent,electricity,not_specified,152.0,f,51.0262007,4.6600539,1,3.0,1,1,1,0,1,0,(information_not_available),1982.0
antwerp,house,residence,436000.0,excellent,fuel_oil,not_specified,120.0,d,51.0394304,4.5326859,4,2.0,1,1,1,1,1,0,(information_not_available),1992.0
antwerp,house,residence,418000.0,not_specified,gas,not_specified,308.0,e,51.0296464,4.6568818,4,3.0,2,2,0,1,0,0,no_flooding_area,1937.0
antwerp,house,residence,465000.0,not_specified,gas,not_specified,244.0,d,51.0523228,4.6292149,3,4.0,2,2,0,1,0,0,no_flooding_area,1967.0
antwerp,house,residence,595000.0,not_specified,not_specified,not_specified,225.0,a,51.0902984,4.6091334,3,3.0,3,4,1,1,0,0,(information_not_available),1951.0
antwerp,house,residence,550000.0,excellent,fuel_oil,not_specified,234.0,b,51.0498813,4.6308994,4,4.0,1,2,1,1,1,0,(information_not_available),1993.0
antwerp,house,residence,349000.0,to_be_renovated,gas,not_specified,119.0,f,51.0556478,4.4761281,3,2.0,1,0,0,1,0,0,no_flooding_area,1935.0
antwerp,apartment,apartment,345000.0,excellent,not_specified,not_specified,18.0,c,51.183838,4.4419227,4,2.0,2,1,1,1,1,0,no_flooding_area,1975.0
antwerp,apartment,apartment,269000.0,excellent,gas,not_specified,108.0,b,51.0609999,4.6537443,3,1.0,1,1,1,1,0,0,no_flooding_area,2008.0
antwerp,house,residence,349000.0,not_specified,gas,not_specified,181.0,b,51.0633847,4.7210601,2,4.0,1,3,1,1,1,0,no_flooding_area,2004.0
antwerp,apartment,apartment,179000.0,normal,hot_air,not_specified,41.0,b,51.0915149,4.3731727,2,1.0,1,1,1,0,1,0,(information_not_available),2005.0
antwerp,apartment,apartment,189000.0,normal,hot_air,not_specified,70.0,a,51.0915149,4.3731727,2,2.0,1,1,1,0,1,0,(information_not_available),2005.0
